Step,Sequence,Sum,Choices
993,"[ 1 11 55 165 330 -462 -462 330 165 0 11 0 ]",144,"+ + + + + - - + + 0 + 0 "
1437,"[ 1 11 55 165 330 -462 0 0 0 55 -11 0 ]",144,"+ + + + + - 0 0 0 + - 0 "
1923,"[ 1 11 55 165 330 0 -462 0 0 55 -11 0 ]",144,"+ + + + + 0 - 0 0 + - 0 "
2772,"[ 1 11 55 165 -330 462 0 -330 165 -55 0 0 ]",144,"+ + + + - + 0 - + - 0 0 "
2880,"[ 1 11 55 165 -330 462 0 0 -165 -55 0 0 ]",144,"+ + + + - + 0 0 - - 0 0 "
3744,"[ 1 11 55 165 -330 0 462 -330 165 -55 0 0 ]",144,"+ + + + - 0 + - + - 0 0 "
3852,"[ 1 11 55 165 -330 0 462 0 -165 -55 0 0 ]",144,"+ + + + - 0 + 0 - - 0 0 "
4986,"[ 1 11 55 165 0 462 0 -330 -165 -55 0 0 ]",144,"+ + + + 0 + 0 - - - 0 0 "
5649,"[ 1 11 55 165 0 -462 0 330 0 55 -11 0 ]",144,"+ + + + 0 - 0 + 0 + - 0 "
5958,"[ 1 11 55 165 0 0 462 -330 -165 -55 0 0 ]",144,"+ + + + 0 0 + - - - 0 0 "
6135,"[ 1 11 55 165 0 0 -462 330 0 55 -11 0 ]",144,"+ + + + 0 0 - + 0 + - 0 "
7173,"[ 1 11 55 -165 330 462 0 -330 -165 -55 0 0 ]",144,"+ + + - + + 0 - - - 0 0 "
7836,"[ 1 11 55 -165 330 -462 0 330 0 55 -11 0 ]",144,"+ + + - + - 0 + 0 + - 0 "
8145,"[ 1 11 55 -165 330 0 462 -330 -165 -55 0 0 ]",144,"+ + + - + 0 + - - - 0 0 "
8322,"[ 1 11 55 -165 330 0 -462 330 0 55 -11 0 ]",144,"+ + + - + 0 - + 0 + - 0 "
9279,"[ 1 11 55 -165 -330 462 0 330 -165 -55 0 0 ]",144,"+ + + - - + 0 + - - 0 0 "
9414,"[ 1 11 55 -165 -330 462 0 0 165 -55 0 0 ]",144,"+ + + - - + 0 0 + - 0 0 "
10251,"[ 1 11 55 -165 -330 0 462 330 -165 -55 0 0 ]",144,"+ + + - - 0 + + - - 0 0 "
10386,"[ 1 11 55 -165 -330 0 462 0 165 -55 0 0 ]",144,"+ + + - - 0 + 0 + - 0 0 "
11520,"[ 1 11 55 -165 0 462 0 -330 165 -55 0 0 ]",144,"+ + + - 0 + 0 - + - 0 0 "
11628,"[ 1 11 55 -165 0 462 0 0 -165 -55 0 0 ]",144,"+ + + - 0 + 0 0 - - 0 0 "
12492,"[ 1 11 55 -165 0 0 462 -330 165 -55 0 0 ]",144,"+ + + - 0 0 + - + - 0 0 "
12600,"[ 1 11 55 -165 0 0 462 0 -165 -55 0 0 ]",144,"+ + + - 0 0 + 0 - - 0 0 "
14370,"[ 1 11 55 0 330 -462 0 330 -165 55 -11 0 ]",144,"+ + + 0 + - 0 + - + - 0 "
14505,"[ 1 11 55 0 330 -462 0 0 165 55 -11 0 ]",144,"+ + + 0 + - 0 0 + + - 0 "
14856,"[ 1 11 55 0 330 0 -462 330 -165 55 -11 0 ]",144,"+ + + 0 + 0 - + - + - 0 "
14991,"[ 1 11 55 0 330 0 -462 0 165 55 -11 0 ]",144,"+ + + 0 + 0 - 0 + + - 0 "
16029,"[ 1 11 55 0 -330 462 0 0 0 -55 0 0 ]",144,"+ + + 0 - + 0 0 0 - 0 0 "
17001,"[ 1 11 55 0 -330 0 462 0 0 -55 0 0 ]",144,"+ + + 0 - 0 + 0 0 - 0 0 "
18135,"[ 1 11 55 0 0 462 0 -330 0 -55 0 0 ]",144,"+ + + 0 0 + 0 - 0 - 0 0 "
18717,"[ 1 11 55 0 0 -462 0 330 165 55 -11 0 ]",144,"+ + + 0 0 - 0 + + + - 0 "
19107,"[ 1 11 55 0 0 0 462 -330 0 -55 0 0 ]",144,"+ + + 0 0 0 + - 0 - 0 0 "
19203,"[ 1 11 55 0 0 0 -462 330 165 55 -11 0 ]",144,"+ + + 0 0 0 - + + + - 0 "
20949,"[ 1 11 -55 165 330 -462 0 330 -165 0 -11 0 ]",144,"+ + - + + - 0 + - 0 - 0 "
21084,"[ 1 11 -55 165 330 -462 0 0 165 0 -11 0 ]",144,"+ + - + + - 0 0 + 0 - 0 "
21435,"[ 1 11 -55 165 330 0 -462 330 -165 0 -11 0 ]",144,"+ + - + + 0 - + - 0 - 0 "
21570,"[ 1 11 -55 165 330 0 -462 0 165 0 -11 0 ]",144,"+ + - + + 0 - 0 + 0 - 0 "
22446,"[ 1 11 -55 165 -330 462 0 -330 165 55 0 0 ]",144,"+ + - + - + 0 - + + 0 0 "
22554,"[ 1 11 -55 165 -330 462 0 0 -165 55 0 0 ]",144,"+ + - + - + 0 0 - + 0 0 "
23418,"[ 1 11 -55 165 -330 0 462 -330 165 55 0 0 ]",144,"+ + - + - 0 + - + + 0 0 "
23526,"[ 1 11 -55 165 -330 0 462 0 -165 55 0 0 ]",144,"+ + - + - 0 + 0 - + 0 0 "
24660,"[ 1 11 -55 165 0 462 0 -330 -165 55 0 0 ]",144,"+ + - + 0 + 0 - - + 0 0 "
