Step,Sequence,Sum,Choices
1331,"[ 1 11 55 165 330 0 -462 0 0 55 -11 0 ]",144,"+ + + + + 0 - 0 0 + - 0 "
1817,"[ 1 11 55 165 330 -462 0 0 0 55 -11 0 ]",144,"+ + + + + - 0 0 0 + - 0 "
1955,"[ 1 11 55 165 330 -462 -462 330 165 0 11 0 ]",144,"+ + + + + - - + + 0 + 0 "
2669,"[ 1 11 55 165 0 462 0 -330 -165 -55 0 0 ]",144,"+ + + + 0 + 0 - - - 0 0 "
3155,"[ 1 11 55 165 0 0 462 -330 -165 -55 0 0 ]",144,"+ + + + 0 0 + - - - 0 0 "
3437,"[ 1 11 55 165 0 0 -462 330 0 55 -11 0 ]",144,"+ + + + 0 0 - + 0 + - 0 "
3923,"[ 1 11 55 165 0 -462 0 330 0 55 -11 0 ]",144,"+ + + + 0 - 0 + 0 + - 0 "
4775,"[ 1 11 55 165 -330 462 0 0 -165 -55 0 0 ]",144,"+ + + + - + 0 0 - - 0 0 "
4802,"[ 1 11 55 165 -330 462 0 -330 165 -55 0 0 ]",144,"+ + + + - + 0 - + - 0 0 "
5261,"[ 1 11 55 165 -330 0 462 0 -165 -55 0 0 ]",144,"+ + + + - 0 + 0 - - 0 0 "
5288,"[ 1 11 55 165 -330 0 462 -330 165 -55 0 0 ]",144,"+ + + + - 0 + - + - 0 0 "
7838,"[ 1 11 55 0 330 0 -462 330 -165 55 -11 0 ]",144,"+ + + 0 + 0 - + - + - 0 "
7865,"[ 1 11 55 0 330 0 -462 0 165 55 -11 0 ]",144,"+ + + 0 + 0 - 0 + + - 0 "
8324,"[ 1 11 55 0 330 -462 0 330 -165 55 -11 0 ]",144,"+ + + 0 + - 0 + - + - 0 "
8351,"[ 1 11 55 0 330 -462 0 0 165 55 -11 0 ]",144,"+ + + 0 + - 0 0 + + - 0 "
9203,"[ 1 11 55 0 0 462 0 -330 0 -55 0 0 ]",144,"+ + + 0 0 + 0 - 0 - 0 0 "
9689,"[ 1 11 55 0 0 0 462 -330 0 -55 0 0 ]",144,"+ + + 0 0 0 + - 0 - 0 0 "
9971,"[ 1 11 55 0 0 0 -462 330 165 55 -11 0 ]",144,"+ + + 0 0 0 - + + + - 0 "
10457,"[ 1 11 55 0 0 -462 0 330 165 55 -11 0 ]",144,"+ + + 0 0 - 0 + + + - 0 "
11309,"[ 1 11 55 0 -330 462 0 0 0 -55 0 0 ]",144,"+ + + 0 - + 0 0 0 - 0 0 "
11795,"[ 1 11 55 0 -330 0 462 0 0 -55 0 0 ]",144,"+ + + 0 - 0 + 0 0 - 0 0 "
13604,"[ 1 11 55 -165 330 462 0 -330 -165 -55 0 0 ]",144,"+ + + - + + 0 - - - 0 0 "
14090,"[ 1 11 55 -165 330 0 462 -330 -165 -55 0 0 ]",144,"+ + + - + 0 + - - - 0 0 "
14372,"[ 1 11 55 -165 330 0 -462 330 0 55 -11 0 ]",144,"+ + + - + 0 - + 0 + - 0 "
14858,"[ 1 11 55 -165 330 -462 0 330 0 55 -11 0 ]",144,"+ + + - + - 0 + 0 + - 0 "
15710,"[ 1 11 55 -165 0 462 0 0 -165 -55 0 0 ]",144,"+ + + - 0 + 0 0 - - 0 0 "
